vendor_id,vendor_name,industry,country,region_risk,annual_spend_usd,contract_value_usd,relationship_years,data_access_level,business_criticality,financial_health_score,security_certification,compliance_incidents_3yr,sla_breach_count_1yr,on_time_delivery_rate,subcontractor_use,insurance_adequate,sanctions_screening,last_assessment_days_ago,risk_tier,predicted_tier,risk_score_0_100,p_low,p_medium,p_high
VEN20130,Union Systems,Consulting,Ireland,Low,18900.0,67000.0,1.2,Limited,Medium,78.3,SOC2,0,2,1.0,Yes,Yes,Clear,243,Low,Low,15.3,0.7437,0.2066,0.0497
VEN20131,Nova Systems,IT Services,Canada,Low,37500.0,45000.0,3.0,No Access,Low,79.3,Both,2,0,0.881,Yes,Yes,Flagged,198,High,High,74.9,0.1991,0.1045,0.6964
VEN20132,Trailhead Enterprises 2,IT Services,Mexico,Medium,323200.0,589300.0,0.8,Full,Medium,82.1,Both,1,1,0.92,No,Yes,Clear,224,Low,Low,43.1,0.4055,0.3262,0.2683
VEN20133,Atlas Co.,Facilities & Maintenance,Brazil,Medium,95800.0,202300.0,7.3,No Access,Low,84.9,SOC2,1,2,0.885,No,Yes,Clear,44,Low,Low,18.5,0.6635,0.3038,0.0327
VEN20134,Union Dynamics,Consulting,Philippines,Medium,19200.0,40300.0,2.0,Limited,Medium,77.4,SOC2,0,0,0.91,No,Yes,Clear,78,Medium,Medium,37.7,0.3642,0.5177,0.1181
VEN20135,Beacon Co.,Payment Processing,China,High,40700.0,50700.0,7.7,Full,Low,81.1,ISO27001,0,1,0.912,Yes,Yes,Clear,20,Medium,Medium,40.7,0.2618,0.663,0.0752
VEN20136,Beacon Partners,Marketing & Media,United Kingdom,Low,60300.0,178600.0,1.1,Limited,Medium,68.5,ISO27001,0,0,0.853,Yes,Yes,Clear,7,Medium,Medium,38.6,0.3199,0.5876,0.0925
VEN20137,Anchor Co.,IT Services,Poland,Medium,534700.0,1480700.0,6.5,Limited,Low,,SOC2,0,2,0.882,Yes,No,Clear,76,Medium,Medium,38.4,0.3083,0.6153,0.0763
VEN20138,Clearway Systems 2,Staffing,United States,Low,63200.0,146100.0,7.7,Limited,Low,88.3,Both,0,1,1.0,Yes,No,Clear,146,Low,Low,14.6,0.732,0.2444,0.0237
VEN20139,Outpost Systems,Marketing & Media,India,Medium,119000.0,325400.0,4.9,Full,Medium,46.1,SOC2,0,1,0.925,No,Yes,Clear,83,Medium,Medium,49.0,0.18,0.6602,0.1599
VEN20140,Ironwood Logistics,Cloud/SaaS,United States,Low,240900.0,455100.0,4.5,Limited,High,78.9,Not Certified,1,1,0.995,No,No,Clear,36,High,Medium,45.3,0.3358,0.4219,0.2423
VEN20141,Crestview Holdings 2,Financial Services,India,Medium,1100500.0,3360600.0,0.7,No Access,High,100.0,SOC2,1,0,0.865,Yes,Yes,Clear,647,Medium,Medium,50.0,0.1721,0.6563,0.1717
VEN20142,Meridian Enterprises,IT Services,India,Medium,151500.0,272900.0,0.8,No Access,High,47.7,SOC2,0,2,0.933,Yes,Yes,Clear,174,High,High,79.5,0.1178,0.1741,0.7081
VEN20143,Summit Dynamics,Staffing,Germany,Low,21300.0,29800.0,3.9,Full,Medium,94.6,SOC2,0,1,0.972,No,Yes,Clear,286,Low,Low,12.7,0.7887,0.1684,0.0429
VEN20144,Union Partners,Marketing & Media,Germany,Low,23300.0,49500.0,3.8,Limited,Medium,48.9,SOC2,0,0,0.93,Yes,Yes,Clear,144,Low,Low,24.0,0.6413,0.2373,0.1214
VEN20145,Momentum Labs,Staffing,Poland,Medium,507100.0,1069200.0,0.6,No Access,Medium,78.5,SOC2,0,0,0.91,No,Yes,Clear,189,Low,Low,20.6,0.6873,0.2135,0.0992
VEN20146,Beacon Industries,Staffing,Australia,Low,115400.0,295000.0,0.7,Limited,Medium,96.1,Both,1,1,0.929,No,Yes,Clear,792,Low,Low,18.0,0.7235,0.1933,0.0831
VEN20147,Keystone Co.,Logistics,Ireland,Low,8000.0,22600.0,2.5,Limited,High,94.1,Both,0,2,0.942,No,Yes,Flagged,913,High,High,50.9,0.378,0.2253,0.3968
VEN20148,Meridian Industries 3,Staffing,United States,Low,40300.0,147000.0,5.3,No Access,Low,60.5,Not Certified,0,0,0.99,No,Yes,Clear,145,Low,Low,10.5,0.8094,0.1709,0.0197
VEN20149,Anchor Holdings 2,Cloud/SaaS,United Kingdom,Low,42800.0,51000.0,2.2,Full,Low,54.9,SOC2,1,3,1.0,No,Yes,Clear,46,Medium,Medium,35.6,0.3335,0.6204,0.0461
VEN20150,Fulcrum Global,IT Services,South Africa,Medium,48900.0,47800.0,1.4,No Access,Medium,52.9,SOC2,0,1,0.862,No,Yes,Clear,152,Medium,Medium,40.1,0.3836,0.4299,0.1865
VEN20151,Northgate Enterprises,Manufacturing,Russia,High,150900.0,378100.0,9.7,No Access,Low,83.0,Not Certified,1,0,0.818,No,Yes,Clear,79,Medium,Medium,41.3,0.2587,0.6555,0.0857
VEN20152,Vantage Solutions,Financial Services,Germany,Low,155900.0,520800.0,15.1,No Access,Low,67.5,Not Certified,0,1,0.929,No,Yes,Clear,59,Low,Low,10.7,0.8229,0.1397,0.0374
VEN20153,Horizon Co.,Logistics,South Africa,Medium,334700.0,1043800.0,1.7,No Access,High,,SOC2,0,0,0.94,Yes,No,Clear,42,High,High,80.4,0.1217,0.1488,0.7295
VEN20154,Silverline Global,Facilities & Maintenance,China,High,8300.0,18300.0,6.6,Full,Low,76.5,SOC2,0,0,0.983,No,Yes,Clear,188,High,High,66.9,0.2331,0.1957,0.5712
VEN20155,Outpost Group,Facilities & Maintenance,Canada,Low,101300.0,212100.0,2.7,Limited,High,78.6,Not Certified,0,0,1.0,Yes,Yes,Clear,55,Medium,Medium,43.6,0.2705,0.5875,0.142
VEN20156,Union Enterprises 2,Cloud/SaaS,United Kingdom,Low,57300.0,117700.0,1.6,No Access,High,80.3,SOC2,1,1,0.901,No,Yes,Clear,9,Low,Low,21.6,0.6802,0.2084,0.1113
VEN20157,Brightline Dynamics,Facilities & Maintenance,Poland,Medium,21400.0,79800.0,2.4,Limited,Low,74.5,SOC2,1,0,1.0,No,Yes,Clear,54,Low,Low,22.1,0.6281,0.3017,0.0702
VEN20158,Keystone Logistics,Logistics,United Kingdom,Low,189700.0,403300.0,4.9,No Access,Medium,50.2,Both,0,0,0.956,No,Yes,Clear,10,Low,Low,17.6,0.721,0.2055,0.0735
VEN20159,Momentum Holdings,Staffing,Nigeria,High,15800.0,40400.0,4.5,Limited,Low,93.1,Both,0,1,0.835,No,No,Clear,420,High,High,76.4,0.1357,0.2001,0.6641
VEN20160,Fulcrum Logistics,Logistics,Germany,Low,14800.0,19300.0,2.8,Full,Low,34.2,ISO27001,0,0,0.997,Yes,Yes,Clear,191,Low,Low,16.2,0.7298,0.2173,0.0529
VEN20161,Momentum Technologies 2,Staffing,Philippines,Medium,462400.0,1407900.0,1.6,No Access,High,90.0,SOC2,1,0,0.957,No,Yes,Clear,1400,High,High,67.9,0.238,0.1659,0.5961
VEN20162,Pinnacle Consulting,Manufacturing,Poland,Medium,115900.0,254300.0,3.1,Limited,High,64.2,Not Certified,0,1,0.957,Yes,Yes,Clear,72,High,High,68.8,0.1523,0.3192,0.5285
VEN20163,Brightline Dynamics 2,Facilities & Maintenance,Canada,Low,186100.0,388700.0,2.0,No Access,Medium,69.9,ISO27001,0,0,0.845,No,Yes,Clear,623,Low,Low,18.5,0.6884,0.2529,0.0587
VEN20164,Beacon Partners 2,Marketing & Media,South Africa,Medium,327100.0,674300.0,11.5,No Access,Low,65.3,Both,0,1,0.922,Yes,Yes,Clear,115,Low,Low,14.1,0.7425,0.2329,0.0245
VEN20165,Horizon Partners 2,Financial Services,United Kingdom,Low,16700.0,36700.0,1.9,Limited,High,67.4,Both,1,0,0.95,Yes,Yes,Clear,430,Medium,Medium,43.9,0.2579,0.6061,0.136
VEN20166,Momentum Partners,Cloud/SaaS,United States,Low,349800.0,1573700.0,1.8,Full,Medium,72.3,Both,0,0,0.931,Yes,Yes,Flagged,396,High,High,83.7,0.1174,0.091,0.7916
VEN20167,Trailhead Dynamics 2,Consulting,United States,Low,81900.0,229500.0,6.4,No Access,High,68.7,ISO27001,0,0,0.981,No,Yes,Clear,278,Low,Low,11.9,0.7888,0.184,0.0272
VEN20168,Redwood Group,IT Services,Japan,Low,134800.0,383300.0,1.9,Limited,Medium,57.2,SOC2,2,3,1.0,Yes,No,Clear,604,High,High,74.8,0.1564,0.191,0.6526
VEN20169,Clearway Holdings,Logistics,Mexico,Medium,184000.0,311900.0,1.2,No Access,Low,84.4,Not Certified,0,2,1.0,No,Yes,Clear,53,Low,Low,10.8,0.8259,0.1323,0.0418
VEN20170,Nova Partners 2,Facilities & Maintenance,United Kingdom,Low,151600.0,177000.0,3.2,No Access,Medium,64.4,Not Certified,0,0,1.0,No,No,Clear,295,Low,Low,19.0,0.6737,0.273,0.0533
VEN20171,Silverline Logistics,IT Services,Brazil,Medium,47100.0,26900.0,4.3,Limited,High,91.3,SOC2,1,1,0.931,No,Yes,Clear,74,Medium,Medium,47.1,0.2144,0.6291,0.1566
VEN20172,Lighthouse Group,Cloud/SaaS,United Kingdom,Low,71800.0,131800.0,7.3,No Access,High,70.4,Not Certified,0,0,1.0,No,No,Clear,314,Medium,Medium,37.6,0.2914,0.6643,0.0443
VEN20173,Outpost Systems 2,Staffing,South Africa,Medium,88100.0,215600.0,6.2,Limited,Medium,62.7,SOC2,2,0,0.956,No,Yes,Clear,14,Medium,Medium,40.0,0.3923,0.4157,0.192
VEN20174,Sterling Dynamics 2,Staffing,United States,Low,245600.0,613500.0,21.4,Limited,Low,78.6,Both,0,1,0.991,No,Yes,Clear,25,Low,Low,9.7,0.8231,0.16,0.0169
VEN20175,Lighthouse Industries,Marketing & Media,United Kingdom,Low,8000.0,9100.0,0.3,No Access,High,85.0,ISO27001,2,0,0.926,Yes,Yes,Clear,161,Medium,Medium,40.8,0.2416,0.6998,0.0586
VEN20176,Bridgeline Industries,Payment Processing,United States,Low,372500.0,1057200.0,0.4,Limited,Low,59.6,ISO27001,1,0,0.857,No,No,Clear,69,Low,Low,17.9,0.7144,0.2131,0.0725
VEN20177,Bridgeline Technologies,Staffing,Japan,Low,25100.0,46700.0,5.1,No Access,Low,68.6,Not Certified,0,1,0.805,No,Yes,Clear,87,Low,Low,15.7,0.707,0.2726,0.0204
VEN20178,Sterling Logistics 2,Logistics,Germany,Low,895200.0,2888200.0,3.3,Full,Low,92.5,SOC2,0,1,0.951,No,Yes,Clear,22,Low,Low,7.6,0.8661,0.1149,0.019
VEN20179,Pinnacle Solutions 2,Marketing & Media,Germany,Low,127700.0,269000.0,5.2,No Access,Low,58.5,SOC2,0,0,0.9,Yes,Yes,Clear,275,Low,Low,18.1,0.6817,0.2743,0.044
VEN20180,Waypoint Technologies 2,Logistics,South Africa,Medium,552200.0,1298100.0,11.2,Limited,High,60.6,Both,0,0,0.94,No,Yes,Clear,184,Medium,Medium,48.4,0.2015,0.6293,0.1692
VEN20181,Northgate Dynamics,Staffing,India,Medium,56600.0,97600.0,2.6,Limited,Low,74.9,ISO27001,0,0,0.994,No,Yes,Flagged,750,High,Low,49.0,0.3854,0.25,0.3646
VEN20182,Sterling Logistics 3,Manufacturing,Mexico,Medium,539400.0,950600.0,0.5,Limited,High,55.5,SOC2,0,1,0.849,No,No,Clear,41,High,High,85.3,0.0759,0.1423,0.7818
VEN20183,Brightline Systems,Cloud/SaaS,Germany,Low,119500.0,280400.0,0.5,No Access,Low,38.0,Not Certified,2,0,0.835,No,Yes,Clear,26,Low,Low,22.7,0.6493,0.2475,0.1032
VEN20184,Clearway Solutions 2,Payment Processing,Brazil,Medium,119200.0,331500.0,0.6,Full,Medium,49.2,Not Certified,0,1,0.956,No,Yes,Clear,9,High,High,76.7,0.1316,0.2028,0.6656
VEN20185,Redwood Labs,Marketing & Media,India,Medium,124700.0,361500.0,6.6,Limited,Low,77.8,SOC2,0,0,0.962,Yes,Yes,Clear,693,Medium,Medium,36.0,0.331,0.6184,0.0506
VEN20186,Anchor Partners,Staffing,Philippines,Medium,8000.0,14000.0,4.2,Full,Medium,,ISO27001,0,0,0.924,Yes,Yes,Clear,387,Medium,Medium,47.6,0.3146,0.418,0.2675
VEN20187,Trailhead Partners,Facilities & Maintenance,China,High,13400.0,17600.0,3.0,Limited,Low,80.8,SOC2,0,0,0.909,No,Yes,Clear,106,Low,Low,30.0,0.5276,0.3447,0.1278
VEN20188,Beacon Group,Staffing,Mexico,Medium,11400.0,30300.0,1.6,Limited,High,78.0,Both,0,2,0.845,No,Yes,Clear,489,High,High,75.1,0.1183,0.2606,0.6211
VEN20189,Northgate Industries,Manufacturing,Japan,Low,81200.0,272300.0,4.4,Limited,Low,55.3,ISO27001,1,1,0.935,No,Yes,Clear,126,Low,Low,17.7,0.678,0.2899,0.0322
VEN20190,Keystone Partners,Facilities & Maintenance,United Kingdom,Low,57000.0,109600.0,6.0,No Access,Medium,82.0,SOC2,1,0,0.896,No,No,Clear,107,Medium,Medium,41.3,0.2696,0.6339,0.0964
VEN20191,Meridian Industries 4,IT Services,China,High,190000.0,375500.0,3.2,Full,Medium,88.6,SOC2,0,1,0.966,No,Yes,Clear,105,Medium,Low,46.6,0.3651,0.3388,0.2961
VEN20192,Brightline Industries,Facilities & Maintenance,Philippines,Medium,110600.0,217100.0,3.4,Limited,Medium,62.8,ISO27001,0,0,0.997,No,No,Clear,323,Low,Low,30.1,0.5778,0.2427,0.1795
VEN20193,Vantage Co. 2,Payment Processing,Brazil,Medium,307700.0,797300.0,1.0,Limited,Low,85.7,ISO27001,0,1,0.907,No,No,Clear,270,Low,Low,17.8,0.7056,0.2333,0.0611
VEN20194,Bridgeline Technologies 2,Marketing & Media,Canada,Low,32700.0,101100.0,3.3,Limited,Low,67.4,ISO27001,0,2,0.965,No,Yes,Clear,217,Low,Low,18.9,0.6476,0.3261,0.0263
VEN20195,Bridgeline Global,Staffing,Japan,Low,110400.0,173000.0,1.2,Full,High,75.2,SOC2,2,0,0.951,Yes,Yes,Clear,83,High,High,71.5,0.1891,0.1922,0.6188
VEN20196,Northgate Enterprises 2,Financial Services,China,High,41300.0,110400.0,0.8,Limited,Low,77.7,SOC2,0,0,0.982,Yes,Yes,Clear,39,Medium,Medium,42.7,0.1963,0.7526,0.0511
VEN20197,Bridgeline Industries 2,Payment Processing,United Kingdom,Low,19200.0,66800.0,5.8,No Access,Low,51.7,Not Certified,0,0,1.0,No,Yes,Clear,51,Low,Low,8.2,0.8527,0.1303,0.017
VEN20198,Waypoint Consulting 2,IT Services,Brazil,Medium,9500.0,26600.0,6.0,Full,High,93.1,Not Certified,2,0,0.98,No,No,Clear,595,High,High,82.0,0.0787,0.2023,0.719
VEN20199,Cascade Partners,Payment Processing,India,Medium,65300.0,111500.0,1.0,Limited,High,60.6,SOC2,0,1,0.983,Yes,Yes,Clear,133,High,High,84.8,0.0873,0.1292,0.7835
VEN20200,Trailhead Enterprises 3,Manufacturing,Canada,Low,25100.0,29100.0,0.7,Limited,Medium,71.1,Not Certified,0,1,0.988,No,Yes,Clear,204,Low,Low,20.5,0.6789,0.2319,0.0892
VEN20201,Ironwood Holdings,IT Services,Germany,Low,39300.0,92700.0,7.0,Limited,Medium,65.6,Not Certified,0,0,0.915,No,Yes,Clear,353,Medium,Medium,38.0,0.3494,0.5411,0.1095
VEN20202,Waypoint Industries 2,Facilities & Maintenance,United States,Low,24000.0,82000.0,0.9,No Access,High,79.0,SOC2,1,1,0.94,No,Yes,Clear,60,Medium,Medium,35.2,0.4018,0.4934,0.1048
VEN20203,Pinnacle Labs,Financial Services,Poland,Medium,20500.0,60900.0,3.0,Full,Low,78.6,SOC2,0,0,0.961,Yes,Yes,Clear,110,Medium,Medium,32.8,0.39,0.5634,0.0466
VEN20204,Summit Logistics,Manufacturing,Philippines,Medium,1876300.0,6547100.0,0.4,Full,Low,72.9,ISO27001,1,0,1.0,No,Yes,Clear,412,Low,Low,10.4,0.838,0.115,0.047
VEN20205,Sterling Co.,Payment Processing,United States,Low,76000.0,155000.0,4.1,Limited,Low,92.4,Not Certified,0,0,1.0,No,Yes,Clear,292,Low,Low,11.0,0.7988,0.1826,0.0186
VEN20206,Momentum Holdings 2,IT Services,United Kingdom,Low,15900.0,37900.0,1.4,No Access,Medium,76.5,ISO27001,1,0,1.0,No,Yes,Clear,304,Low,Low,9.7,0.8432,0.1186,0.0381
VEN20207,Summit Labs,Facilities & Maintenance,Philippines,Medium,57600.0,97200.0,3.9,Full,Medium,67.0,Both,0,0,0.875,No,Yes,Clear,1217,High,High,67.8,0.1851,0.2735,0.5415
VEN20208,Brightline Holdings 2,Manufacturing,Canada,Low,73700.0,204800.0,1.0,Full,High,32.2,SOC2,0,2,0.938,Yes,Yes,Clear,32,High,High,82.3,0.1149,0.1249,0.7602
VEN20209,Sterling Global,Financial Services,India,Medium,13100.0,28600.0,2.8,Full,Low,68.6,Both,0,1,0.837,No,Yes,Clear,120,Medium,Medium,37.0,0.399,0.4613,0.1397
VEN20210,Sterling Networks,Financial Services,Brazil,Medium,243700.0,415900.0,0.7,Full,High,68.5,Not Certified,1,1,0.908,No,Yes,Clear,142,High,High,79.9,0.1061,0.1894,0.7045
VEN20211,Waypoint Technologies 3,IT Services,India,Medium,24600.0,49900.0,3.9,No Access,Medium,60.4,Not Certified,0,0,0.842,Yes,Yes,Clear,221,Low,Low,32.4,0.5269,0.2976,0.1755
VEN20212,Nova Holdings 2,Financial Services,United States,Low,130700.0,365100.0,8.3,Limited,Medium,60.5,Not Certified,0,0,1.0,Yes,Yes,Flagged,351,High,High,84.3,0.0939,0.1267,0.7794
VEN20213,Brightline Solutions,Payment Processing,China,High,41700.0,127100.0,4.1,Full,Low,80.9,SOC2,0,0,0.985,Yes,Yes,Clear,38,Low,Low,26.1,0.5456,0.3865,0.0679
VEN20214,Meridian Labs,Cloud/SaaS,Philippines,Medium,27800.0,82600.0,3.1,Limited,Low,87.2,SOC2,0,0,0.876,No,No,Clear,174,Low,Low,26.3,0.5599,0.3547,0.0853
VEN20215,Meridian Dynamics 2,IT Services,India,Medium,2964800.0,12493100.0,7.0,No Access,Low,99.1,SOC2,1,1,0.96,No,Yes,Clear,1285,Low,Low,14.0,0.7752,0.1702,0.0546
VEN20216,Vantage Co. 3,IT Services,United Kingdom,Low,34600.0,102200.0,3.4,Limited,Low,88.6,Not Certified,0,0,0.984,No,Yes,Clear,87,Low,Low,14.2,0.7396,0.2375,0.0229
VEN20217,Atlas Solutions,Financial Services,India,Medium,12000.0,19400.0,3.5,No Access,Medium,62.7,Not Certified,0,1,1.0,No,Yes,Clear,104,Low,Low,22.2,0.6752,0.2065,0.1183
VEN20218,Outpost Consulting 2,Consulting,Germany,Low,38300.0,123200.0,2.4,No Access,Medium,76.2,ISO27001,0,0,0.99,No,Yes,Clear,382,Low,Low,7.9,0.8639,0.1149,0.0213
VEN20219,Summit Solutions 2,IT Services,United States,Low,22000.0,36800.0,0.7,Full,High,53.5,Both,1,1,0.948,No,Yes,Clear,13,High,High,77.0,0.1517,0.1558,0.6926
VEN20220,Trailhead Consulting,Consulting,United States,Low,245600.0,362100.0,0.2,Full,Low,82.8,Not Certified,0,1,0.935,No,Yes,Clear,55,Low,Low,12.7,0.7735,0.1999,0.0266
VEN20221,Apex Co.,Financial Services,United States,Low,115400.0,338400.0,4.9,Limited,Medium,,ISO27001,0,1,0.978,Yes,Yes,Clear,66,Low,Low,23.8,0.5981,0.3284,0.0735
VEN20222,Redwood Global 2,IT Services,Canada,Low,17600.0,33200.0,5.1,Limited,Medium,64.0,SOC2,0,0,0.958,No,Yes,Clear,246,Low,Low,12.3,0.7852,0.1832,0.0316
VEN20223,Nova Group,Manufacturing,United Kingdom,Low,537000.0,1269300.0,5.2,Limited,High,71.1,ISO27001,1,3,0.912,No,Yes,Clear,14,Medium,Low,41.9,0.4414,0.2791,0.2794
VEN20224,Outpost Networks,Cloud/SaaS,Mexico,Medium,53200.0,104000.0,0.6,Limited,Medium,69.1,ISO27001,0,2,0.867,No,Yes,Clear,67,Medium,Medium,47.2,0.2706,0.514,0.2153
VEN20225,Union Dynamics 2,Marketing & Media,India,Medium,15200.0,33600.0,2.4,No Access,Medium,63.7,ISO27001,1,0,1.0,No,Yes,Clear,79,Low,Low,14.1,0.7739,0.1702,0.0558
VEN20226,Redwood Networks,Facilities & Maintenance,India,Medium,245700.0,239300.0,15.5,No Access,Medium,91.1,Both,1,0,0.897,No,Yes,Clear,5,Low,Low,19.7,0.6927,0.2205,0.0868
VEN20227,Fulcrum Industries 2,Logistics,Brazil,Medium,148300.0,456900.0,4.7,Limited,Low,100.0,Not Certified,1,1,0.924,Yes,Yes,Clear,265,Medium,Medium,33.1,0.4441,0.4498,0.1062
VEN20228,Apex Global,Cloud/SaaS,United States,Low,21300.0,71200.0,5.2,Limited,High,84.1,Both,0,0,0.988,No,Yes,Clear,255,Low,Low,12.4,0.7956,0.1613,0.0431
VEN20229,Fulcrum Systems 2,Payment Processing,Germany,Low,18600.0,40400.0,10.9,No Access,High,87.4,Not Certified,0,0,0.937,No,Yes,Clear,261,Low,Low,15.2,0.7449,0.2063,0.0488
VEN20230,Keystone Holdings,Staffing,United States,Low,57600.0,193800.0,20.6,No Access,Medium,74.8,ISO27001,2,0,1.0,Yes,Yes,Clear,158,Low,Low,24.7,0.6084,0.2902,0.1015
VEN20231,Meridian Consulting 2,Manufacturing,Ireland,Low,31700.0,96900.0,1.4,No Access,Low,67.7,Not Certified,0,0,0.873,No,Yes,Flagged,10,Medium,Medium,50.6,0.2124,0.564,0.2236
VEN20232,Vertex Solutions 2,Manufacturing,United States,Low,130600.0,434500.0,2.2,No Access,Low,100.0,Not Certified,0,0,0.986,No,Yes,Clear,437,Low,Low,8.8,0.8348,0.155,0.0101
VEN20233,Sterling Group 2,Staffing,United States,Low,95900.0,340800.0,9.3,Full,Low,67.5,SOC2,0,1,0.861,No,Yes,Clear,149,Low,Low,22.0,0.5972,0.3654,0.0374
VEN20234,Sterling Dynamics 3,Consulting,United States,Low,17300.0,24000.0,1.8,No Access,Low,78.1,Not Certified,0,0,0.851,No,Yes,Clear,448,Low,Low,12.5,0.771,0.2072,0.0219
VEN20235,Meridian Systems,IT Services,Germany,Low,19600.0,59300.0,4.7,Limited,Low,70.9,Both,0,0,0.878,No,Yes,Clear,35,Low,Low,17.1,0.6912,0.276,0.0327
VEN20236,Redwood Technologies,Cloud/SaaS,Philippines,Medium,51600.0,116400.0,3.6,Limited,High,80.9,Not Certified,0,2,0.947,Yes,No,Clear,5,High,High,84.8,0.0911,0.1221,0.7869
VEN20237,Vertex Group,Manufacturing,United Kingdom,Low,311900.0,929800.0,0.4,No Access,Low,71.9,SOC2,1,1,0.9,No,Yes,Clear,216,Low,Low,7.7,0.8582,0.1292,0.0125
VEN20238,Redwood Partners 3,Financial Services,Philippines,Medium,32800.0,70900.0,11.6,Limited,Low,80.9,SOC2,0,0,0.858,No,Yes,Clear,599,Low,Low,34.6,0.443,0.4229,0.1341
VEN20239,Anchor Networks,IT Services,Canada,Low,138400.0,557400.0,0.6,Limited,Low,54.9,Both,0,0,1.0,No,Yes,Clear,36,Low,Low,11.0,0.8152,0.1501,0.0347
VEN20240,Fulcrum Networks 3,IT Services,United Kingdom,Low,32500.0,120500.0,2.9,No Access,Low,71.2,Both,0,0,0.883,No,Yes,Clear,60,Low,Low,9.9,0.8223,0.1569,0.0207
VEN20241,Vertex Holdings,Cloud/SaaS,Australia,Low,114200.0,270600.0,3.6,Full,Medium,91.8,SOC2,0,0,0.933,Yes,No,Flagged,299,High,High,84.4,0.1127,0.0865,0.8008
VEN20242,Waypoint Industries 3,Manufacturing,United States,Low,35400.0,96800.0,17.3,Limited,Low,58.1,Not Certified,0,0,0.955,Yes,No,Clear,15,Medium,Medium,38.3,0.3057,0.6231,0.0712
VEN20243,Bridgeline Partners,Staffing,Japan,Low,112200.0,287800.0,9.4,No Access,High,63.3,Not Certified,0,0,0.912,No,Yes,Clear,251,Medium,Low,30.8,0.5181,0.3482,0.1338
VEN20244,Apex Networks 2,Facilities & Maintenance,India,Medium,24300.0,62800.0,5.8,Full,Medium,91.8,ISO27001,0,0,0.962,No,Yes,Clear,10,Low,Low,29.1,0.6004,0.2182,0.1814
VEN20245,Pinnacle Group,IT Services,Brazil,Medium,28800.0,90000.0,3.2,No Access,High,78.3,Not Certified,2,0,0.977,No,Yes,Clear,65,Medium,Medium,53.8,0.1462,0.6306,0.2232
VEN20246,Redwood Systems,IT Services,United States,Low,649700.0,1043000.0,4.0,Limited,High,87.6,Both,0,0,0.934,No,No,Clear,106,Low,Medium,38.3,0.3961,0.4425,0.1614
VEN20247,Cascade Technologies 2,Financial Services,Brazil,Medium,200500.0,249700.0,3.4,Limited,Medium,41.3,Both,1,2,1.0,Yes,Yes,Clear,266,High,Medium,48.6,0.2926,0.4421,0.2654
VEN20248,Crestview Systems,Payment Processing,India,Medium,15900.0,52200.0,1.3,No Access,Low,74.6,ISO27001,0,1,0.905,Yes,Yes,Clear,230,Low,Low,18.6,0.6732,0.2808,0.046
VEN20249,Apex Technologies,Consulting,India,Medium,268000.0,712800.0,2.2,Limited,Low,54.7,Both,0,1,0.877,No,No,Clear,95,Low,Low,26.4,0.5785,0.315,0.1065
VEN20250,Bridgeline Global 2,Manufacturing,United States,Low,56000.0,113200.0,3.4,Limited,Low,53.1,SOC2,1,0,0.952,No,Yes,Clear,296,Low,Low,18.8,0.6552,0.314,0.0307
VEN20251,Trailhead Industries 3,Payment Processing,China,High,328600.0,605500.0,1.8,Limited,Medium,78.3,Both,0,0,0.882,No,Yes,Clear,128,Low,Low,31.1,0.5517,0.2754,0.1729
VEN20252,Redwood Group 2,Consulting,United Kingdom,Low,14300.0,17100.0,0.2,No Access,Low,89.2,Not Certified,1,0,0.963,Yes,Yes,Clear,393,Low,Low,12.8,0.7689,0.2068,0.0243
VEN20253,Northgate Industries 2,Manufacturing,India,Medium,60500.0,130600.0,0.7,Limited,Medium,51.6,Not Certified,0,0,0.934,No,Yes,Clear,148,High,High,72.4,0.1755,0.2002,0.6243
VEN20254,Ironwood Technologies,Staffing,India,Medium,41100.0,41100.0,3.4,Limited,Low,57.1,SOC2,0,1,0.912,No,No,Clear,131,Medium,Medium,41.8,0.2625,0.6391,0.0984
VEN20255,Crestview Systems 2,Manufacturing,China,High,29900.0,74500.0,6.8,Limited,Medium,64.4,Both,0,0,0.975,Yes,Yes,Clear,79,High,High,72.8,0.1421,0.2603,0.5976
VEN20256,Pinnacle Group 2,Cloud/SaaS,Mexico,Medium,17500.0,45600.0,2.4,No Access,Medium,70.8,Not Certified,2,1,0.972,No,Yes,Clear,92,Medium,Medium,40.9,0.2676,0.6458,0.0866
VEN20257,Pinnacle Global,Facilities & Maintenance,Venezuela,High,651300.0,1197100.0,4.0,No Access,Low,53.9,Both,1,2,0.763,No,Yes,Clear,70,Medium,Medium,42.7,0.2009,0.7446,0.0546
VEN20258,Atlas Solutions 2,IT Services,Canada,Low,67400.0,214600.0,4.6,Full,Low,100.0,SOC2,0,1,0.921,Yes,Yes,Clear,22,Low,Low,20.1,0.6486,0.3002,0.0511
VEN20259,Union Partners 2,Marketing & Media,Mexico,Medium,47000.0,139800.0,0.2,No Access,Low,80.8,Both,0,0,0.948,No,Yes,Clear,28,Low,Low,17.0,0.711,0.2381,0.0509
VEN20260,Momentum Technologies 3,Staffing,India,Medium,9900.0,25000.0,22.0,Limited,High,67.5,Both,0,1,0.969,No,Yes,Clear,391,Medium,Medium,49.4,0.1858,0.6404,0.1738
