vendor_id,vendor_name,industry,country,region_risk,annual_spend_usd,contract_value_usd,relationship_years,data_access_level,business_criticality,financial_health_score,security_certification,compliance_incidents_3yr,sla_breach_count_1yr,on_time_delivery_rate,subcontractor_use,insurance_adequate,sanctions_screening,last_assessment_days_ago,risk_tier
VEN20165,Horizon Partners 2,Financial Services,United Kingdom,Low,16700.0,36700.0,1.9,Limited,High,67.4,Both,1,0,0.95,Yes,Yes,Clear,430,Medium
VEN20166,Momentum Partners,Cloud/SaaS,United States,Low,349800.0,1573700.0,1.8,Full,Medium,72.3,Both,0,0,0.931,Yes,Yes,Flagged,396,High
VEN20167,Trailhead Dynamics 2,Consulting,United States,Low,81900.0,229500.0,6.4,No Access,High,68.7,ISO27001,0,0,0.981,No,Yes,Clear,278,Low
VEN20168,Redwood Group,IT Services,Japan,Low,134800.0,383300.0,1.9,Limited,Medium,57.2,SOC2,2,3,1.0,Yes,No,Clear,604,High
VEN20169,Clearway Holdings,Logistics,Mexico,Medium,184000.0,311900.0,1.2,No Access,Low,84.4,Not Certified,0,2,1.0,No,Yes,Clear,53,Low
VEN20170,Nova Partners 2,Facilities & Maintenance,United Kingdom,Low,151600.0,177000.0,3.2,No Access,Medium,64.4,Not Certified,0,0,1.0,No,No,Clear,295,Low
VEN20171,Silverline Logistics,IT Services,Brazil,Medium,47100.0,26900.0,4.3,Limited,High,91.3,SOC2,1,1,0.931,No,Yes,Clear,74,Medium
VEN20172,Lighthouse Group,Cloud/SaaS,United Kingdom,Low,71800.0,131800.0,7.3,No Access,High,70.4,Not Certified,0,0,1.0,No,No,Clear,314,Medium
VEN20173,Outpost Systems 2,Staffing,South Africa,Medium,88100.0,215600.0,6.2,Limited,Medium,62.7,SOC2,2,0,0.956,No,Yes,Clear,14,Medium
VEN20174,Sterling Dynamics 2,Staffing,United States,Low,245600.0,613500.0,21.4,Limited,Low,78.6,Both,0,1,0.991,No,Yes,Clear,25,Low
VEN20175,Lighthouse Industries,Marketing & Media,United Kingdom,Low,8000.0,9100.0,0.3,No Access,High,85.0,ISO27001,2,0,0.926,Yes,Yes,Clear,161,Medium
VEN20176,Bridgeline Industries,Payment Processing,United States,Low,372500.0,1057200.0,0.4,Limited,Low,59.6,ISO27001,1,0,0.857,No,No,Clear,69,Low
VEN20177,Bridgeline Technologies,Staffing,Japan,Low,25100.0,46700.0,5.1,No Access,Low,68.6,Not Certified,0,1,0.805,No,Yes,Clear,87,Low
VEN20178,Sterling Logistics 2,Logistics,Germany,Low,895200.0,2888200.0,3.3,Full,Low,92.5,SOC2,0,1,0.951,No,Yes,Clear,22,Low
VEN20179,Pinnacle Solutions 2,Marketing & Media,Germany,Low,127700.0,269000.0,5.2,No Access,Low,58.5,SOC2,0,0,0.9,Yes,Yes,Clear,275,Low
VEN20180,Waypoint Technologies 2,Logistics,South Africa,Medium,552200.0,1298100.0,11.2,Limited,High,60.6,Both,0,0,0.94,No,Yes,Clear,184,Medium
VEN20181,Northgate Dynamics,Staffing,India,Medium,56600.0,97600.0,2.6,Limited,Low,74.9,ISO27001,0,0,0.994,No,Yes,Flagged,750,High
VEN20182,Sterling Logistics 3,Manufacturing,Mexico,Medium,539400.0,950600.0,0.5,Limited,High,55.5,SOC2,0,1,0.849,No,No,Clear,41,High
VEN20183,Brightline Systems,Cloud/SaaS,Germany,Low,119500.0,280400.0,0.5,No Access,Low,38.0,Not Certified,2,0,0.835,No,Yes,Clear,26,Low
VEN20184,Clearway Solutions 2,Payment Processing,Brazil,Medium,119200.0,331500.0,0.6,Full,Medium,49.2,Not Certified,0,1,0.956,No,Yes,Clear,9,High
VEN20185,Redwood Labs,Marketing & Media,India,Medium,124700.0,361500.0,6.6,Limited,Low,77.8,SOC2,0,0,0.962,Yes,Yes,Clear,693,Medium
VEN20186,Anchor Partners,Staffing,Philippines,Medium,8000.0,14000.0,4.2,Full,Medium,,ISO27001,0,0,0.924,Yes,Yes,Clear,387,Medium
VEN20187,Trailhead Partners,Facilities & Maintenance,China,High,13400.0,17600.0,3.0,Limited,Low,80.8,SOC2,0,0,0.909,No,Yes,Clear,106,Low
VEN20188,Beacon Group,Staffing,Mexico,Medium,11400.0,30300.0,1.6,Limited,High,78.0,Both,0,2,0.845,No,Yes,Clear,489,High
VEN20189,Northgate Industries,Manufacturing,Japan,Low,81200.0,272300.0,4.4,Limited,Low,55.3,ISO27001,1,1,0.935,No,Yes,Clear,126,Low
VEN20190,Keystone Partners,Facilities & Maintenance,United Kingdom,Low,57000.0,109600.0,6.0,No Access,Medium,82.0,SOC2,1,0,0.896,No,No,Clear,107,Medium
VEN20191,Meridian Industries 4,IT Services,China,High,190000.0,375500.0,3.2,Full,Medium,88.6,SOC2,0,1,0.966,No,Yes,Clear,105,Medium
VEN20192,Brightline Industries,Facilities & Maintenance,Philippines,Medium,110600.0,217100.0,3.4,Limited,Medium,62.8,ISO27001,0,0,0.997,No,No,Clear,323,Low
VEN20193,Vantage Co. 2,Payment Processing,Brazil,Medium,307700.0,797300.0,1.0,Limited,Low,85.7,ISO27001,0,1,0.907,No,No,Clear,270,Low
VEN20194,Bridgeline Technologies 2,Marketing & Media,Canada,Low,32700.0,101100.0,3.3,Limited,Low,67.4,ISO27001,0,2,0.965,No,Yes,Clear,217,Low
VEN20195,Bridgeline Global,Staffing,Japan,Low,110400.0,173000.0,1.2,Full,High,75.2,SOC2,2,0,0.951,Yes,Yes,Clear,83,High
VEN20196,Northgate Enterprises 2,Financial Services,China,High,41300.0,110400.0,0.8,Limited,Low,77.7,SOC2,0,0,0.982,Yes,Yes,Clear,39,Medium
VEN20197,Bridgeline Industries 2,Payment Processing,United Kingdom,Low,19200.0,66800.0,5.8,No Access,Low,51.7,Not Certified,0,0,1.0,No,Yes,Clear,51,Low
VEN20198,Waypoint Consulting 2,IT Services,Brazil,Medium,9500.0,26600.0,6.0,Full,High,93.1,Not Certified,2,0,0.98,No,No,Clear,595,High
VEN20199,Cascade Partners,Payment Processing,India,Medium,65300.0,111500.0,1.0,Limited,High,60.6,SOC2,0,1,0.983,Yes,Yes,Clear,133,High
VEN20200,Trailhead Enterprises 3,Manufacturing,Canada,Low,25100.0,29100.0,0.7,Limited,Medium,71.1,Not Certified,0,1,0.988,No,Yes,Clear,204,Low
VEN20201,Ironwood Holdings,IT Services,Germany,Low,39300.0,92700.0,7.0,Limited,Medium,65.6,Not Certified,0,0,0.915,No,Yes,Clear,353,Medium
VEN20202,Waypoint Industries 2,Facilities & Maintenance,United States,Low,24000.0,82000.0,0.9,No Access,High,79.0,SOC2,1,1,0.94,No,Yes,Clear,60,Medium
VEN20203,Pinnacle Labs,Financial Services,Poland,Medium,20500.0,60900.0,3.0,Full,Low,78.6,SOC2,0,0,0.961,Yes,Yes,Clear,110,Medium
VEN20204,Summit Logistics,Manufacturing,Philippines,Medium,1876300.0,6547100.0,0.4,Full,Low,72.9,ISO27001,1,0,1.0,No,Yes,Clear,412,Low
VEN20205,Sterling Co.,Payment Processing,United States,Low,76000.0,155000.0,4.1,Limited,Low,92.4,Not Certified,0,0,1.0,No,Yes,Clear,292,Low
VEN20206,Momentum Holdings 2,IT Services,United Kingdom,Low,15900.0,37900.0,1.4,No Access,Medium,76.5,ISO27001,1,0,1.0,No,Yes,Clear,304,Low
VEN20207,Summit Labs,Facilities & Maintenance,Philippines,Medium,57600.0,97200.0,3.9,Full,Medium,67.0,Both,0,0,0.875,No,Yes,Clear,1217,High
VEN20208,Brightline Holdings 2,Manufacturing,Canada,Low,73700.0,204800.0,1.0,Full,High,32.2,SOC2,0,2,0.938,Yes,Yes,Clear,32,High
VEN20209,Sterling Global,Financial Services,India,Medium,13100.0,28600.0,2.8,Full,Low,68.6,Both,0,1,0.837,No,Yes,Clear,120,Medium
VEN20210,Sterling Networks,Financial Services,Brazil,Medium,243700.0,415900.0,0.7,Full,High,68.5,Not Certified,1,1,0.908,No,Yes,Clear,142,High
VEN20211,Waypoint Technologies 3,IT Services,India,Medium,24600.0,49900.0,3.9,No Access,Medium,60.4,Not Certified,0,0,0.842,Yes,Yes,Clear,221,Low
VEN20212,Nova Holdings 2,Financial Services,United States,Low,130700.0,365100.0,8.3,Limited,Medium,60.5,Not Certified,0,0,1.0,Yes,Yes,Flagged,351,High
VEN20213,Brightline Solutions,Payment Processing,China,High,41700.0,127100.0,4.1,Full,Low,80.9,SOC2,0,0,0.985,Yes,Yes,Clear,38,Low
VEN20214,Meridian Labs,Cloud/SaaS,Philippines,Medium,27800.0,82600.0,3.1,Limited,Low,87.2,SOC2,0,0,0.876,No,No,Clear,174,Low
VEN20215,Meridian Dynamics 2,IT Services,India,Medium,2964800.0,12493100.0,7.0,No Access,Low,99.1,SOC2,1,1,0.96,No,Yes,Clear,1285,Low
VEN20216,Vantage Co. 3,IT Services,United Kingdom,Low,34600.0,102200.0,3.4,Limited,Low,88.6,Not Certified,0,0,0.984,No,Yes,Clear,87,Low
VEN20217,Atlas Solutions,Financial Services,India,Medium,12000.0,19400.0,3.5,No Access,Medium,62.7,Not Certified,0,1,1.0,No,Yes,Clear,104,Low
VEN20218,Outpost Consulting 2,Consulting,Germany,Low,38300.0,123200.0,2.4,No Access,Medium,76.2,ISO27001,0,0,0.99,No,Yes,Clear,382,Low
VEN20219,Summit Solutions 2,IT Services,United States,Low,22000.0,36800.0,0.7,Full,High,53.5,Both,1,1,0.948,No,Yes,Clear,13,High
VEN20220,Trailhead Consulting,Consulting,United States,Low,245600.0,362100.0,0.2,Full,Low,82.8,Not Certified,0,1,0.935,No,Yes,Clear,55,Low
VEN20221,Apex Co.,Financial Services,United States,Low,115400.0,338400.0,4.9,Limited,Medium,,ISO27001,0,1,0.978,Yes,Yes,Clear,66,Low
VEN20222,Redwood Global 2,IT Services,Canada,Low,17600.0,33200.0,5.1,Limited,Medium,64.0,SOC2,0,0,0.958,No,Yes,Clear,246,Low
VEN20223,Nova Group,Manufacturing,United Kingdom,Low,537000.0,1269300.0,5.2,Limited,High,71.1,ISO27001,1,3,0.912,No,Yes,Clear,14,Medium
VEN20224,Outpost Networks,Cloud/SaaS,Mexico,Medium,53200.0,104000.0,0.6,Limited,Medium,69.1,ISO27001,0,2,0.867,No,Yes,Clear,67,Medium
VEN20225,Union Dynamics 2,Marketing & Media,India,Medium,15200.0,33600.0,2.4,No Access,Medium,63.7,ISO27001,1,0,1.0,No,Yes,Clear,79,Low
VEN20226,Redwood Networks,Facilities & Maintenance,India,Medium,245700.0,239300.0,15.5,No Access,Medium,91.1,Both,1,0,0.897,No,Yes,Clear,5,Low
VEN20227,Fulcrum Industries 2,Logistics,Brazil,Medium,148300.0,456900.0,4.7,Limited,Low,100.0,Not Certified,1,1,0.924,Yes,Yes,Clear,265,Medium
VEN20228,Apex Global,Cloud/SaaS,United States,Low,21300.0,71200.0,5.2,Limited,High,84.1,Both,0,0,0.988,No,Yes,Clear,255,Low
VEN20229,Fulcrum Systems 2,Payment Processing,Germany,Low,18600.0,40400.0,10.9,No Access,High,87.4,Not Certified,0,0,0.937,No,Yes,Clear,261,Low
VEN20230,Keystone Holdings,Staffing,United States,Low,57600.0,193800.0,20.6,No Access,Medium,74.8,ISO27001,2,0,1.0,Yes,Yes,Clear,158,Low
VEN20231,Meridian Consulting 2,Manufacturing,Ireland,Low,31700.0,96900.0,1.4,No Access,Low,67.7,Not Certified,0,0,0.873,No,Yes,Flagged,10,Medium
VEN20232,Vertex Solutions 2,Manufacturing,United States,Low,130600.0,434500.0,2.2,No Access,Low,100.0,Not Certified,0,0,0.986,No,Yes,Clear,437,Low
VEN20233,Sterling Group 2,Staffing,United States,Low,95900.0,340800.0,9.3,Full,Low,67.5,SOC2,0,1,0.861,No,Yes,Clear,149,Low
VEN20234,Sterling Dynamics 3,Consulting,United States,Low,17300.0,24000.0,1.8,No Access,Low,78.1,Not Certified,0,0,0.851,No,Yes,Clear,448,Low
VEN20235,Meridian Systems,IT Services,Germany,Low,19600.0,59300.0,4.7,Limited,Low,70.9,Both,0,0,0.878,No,Yes,Clear,35,Low
VEN20236,Redwood Technologies,Cloud/SaaS,Philippines,Medium,51600.0,116400.0,3.6,Limited,High,80.9,Not Certified,0,2,0.947,Yes,No,Clear,5,High
VEN20237,Vertex Group,Manufacturing,United Kingdom,Low,311900.0,929800.0,0.4,No Access,Low,71.9,SOC2,1,1,0.9,No,Yes,Clear,216,Low
VEN20238,Redwood Partners 3,Financial Services,Philippines,Medium,32800.0,70900.0,11.6,Limited,Low,80.9,SOC2,0,0,0.858,No,Yes,Clear,599,Low
VEN20239,Anchor Networks,IT Services,Canada,Low,138400.0,557400.0,0.6,Limited,Low,54.9,Both,0,0,1.0,No,Yes,Clear,36,Low
VEN20240,Fulcrum Networks 3,IT Services,United Kingdom,Low,32500.0,120500.0,2.9,No Access,Low,71.2,Both,0,0,0.883,No,Yes,Clear,60,Low
VEN20241,Vertex Holdings,Cloud/SaaS,Australia,Low,114200.0,270600.0,3.6,Full,Medium,91.8,SOC2,0,0,0.933,Yes,No,Flagged,299,High
VEN20242,Waypoint Industries 3,Manufacturing,United States,Low,35400.0,96800.0,17.3,Limited,Low,58.1,Not Certified,0,0,0.955,Yes,No,Clear,15,Medium
VEN20243,Bridgeline Partners,Staffing,Japan,Low,112200.0,287800.0,9.4,No Access,High,63.3,Not Certified,0,0,0.912,No,Yes,Clear,251,Medium
VEN20244,Apex Networks 2,Facilities & Maintenance,India,Medium,24300.0,62800.0,5.8,Full,Medium,91.8,ISO27001,0,0,0.962,No,Yes,Clear,10,Low
VEN20245,Pinnacle Group,IT Services,Brazil,Medium,28800.0,90000.0,3.2,No Access,High,78.3,Not Certified,2,0,0.977,No,Yes,Clear,65,Medium
VEN20246,Redwood Systems,IT Services,United States,Low,649700.0,1043000.0,4.0,Limited,High,87.6,Both,0,0,0.934,No,No,Clear,106,Low
VEN20247,Cascade Technologies 2,Financial Services,Brazil,Medium,200500.0,249700.0,3.4,Limited,Medium,41.3,Both,1,2,1.0,Yes,Yes,Clear,266,High
VEN20248,Crestview Systems,Payment Processing,India,Medium,15900.0,52200.0,1.3,No Access,Low,74.6,ISO27001,0,1,0.905,Yes,Yes,Clear,230,Low
VEN20249,Apex Technologies,Consulting,India,Medium,268000.0,712800.0,2.2,Limited,Low,54.7,Both,0,1,0.877,No,No,Clear,95,Low
VEN20250,Bridgeline Global 2,Manufacturing,United States,Low,56000.0,113200.0,3.4,Limited,Low,53.1,SOC2,1,0,0.952,No,Yes,Clear,296,Low
VEN20251,Trailhead Industries 3,Payment Processing,China,High,328600.0,605500.0,1.8,Limited,Medium,78.3,Both,0,0,0.882,No,Yes,Clear,128,Low
VEN20252,Redwood Group 2,Consulting,United Kingdom,Low,14300.0,17100.0,0.2,No Access,Low,89.2,Not Certified,1,0,0.963,Yes,Yes,Clear,393,Low
VEN20253,Northgate Industries 2,Manufacturing,India,Medium,60500.0,130600.0,0.7,Limited,Medium,51.6,Not Certified,0,0,0.934,No,Yes,Clear,148,High
VEN20254,Ironwood Technologies,Staffing,India,Medium,41100.0,41100.0,3.4,Limited,Low,57.1,SOC2,0,1,0.912,No,No,Clear,131,Medium
VEN20255,Crestview Systems 2,Manufacturing,China,High,29900.0,74500.0,6.8,Limited,Medium,64.4,Both,0,0,0.975,Yes,Yes,Clear,79,High
VEN20256,Pinnacle Group 2,Cloud/SaaS,Mexico,Medium,17500.0,45600.0,2.4,No Access,Medium,70.8,Not Certified,2,1,0.972,No,Yes,Clear,92,Medium
VEN20257,Pinnacle Global,Facilities & Maintenance,Venezuela,High,651300.0,1197100.0,4.0,No Access,Low,53.9,Both,1,2,0.763,No,Yes,Clear,70,Medium
VEN20258,Atlas Solutions 2,IT Services,Canada,Low,67400.0,214600.0,4.6,Full,Low,100.0,SOC2,0,1,0.921,Yes,Yes,Clear,22,Low
VEN20259,Union Partners 2,Marketing & Media,Mexico,Medium,47000.0,139800.0,0.2,No Access,Low,80.8,Both,0,0,0.948,No,Yes,Clear,28,Low
VEN20260,Momentum Technologies 3,Staffing,India,Medium,9900.0,25000.0,22.0,Limited,High,67.5,Both,0,1,0.969,No,Yes,Clear,391,Medium
VEN20261,Silverline Co.,Consulting,India,Medium,251500.0,444100.0,0.7,Limited,Medium,,Both,0,0,0.908,No,No,Clear,20,Medium
VEN20262,Northgate Holdings,Manufacturing,Mexico,Medium,253400.0,465700.0,0.2,Full,Low,100.0,SOC2,0,1,0.872,No,Yes,Clear,90,Low
VEN20263,Atlas Global,IT Services,India,Medium,56200.0,90100.0,13.0,No Access,Low,100.0,Not Certified,0,1,0.948,Yes,Yes,Clear,21,Low
VEN20264,Keystone Enterprises 2,Payment Processing,United Kingdom,Low,13800.0,10800.0,0.2,Full,Low,65.6,SOC2,0,0,0.981,Yes,No,Clear,11,Medium
VEN20265,Sterling Networks 2,Payment Processing,Mexico,Medium,133600.0,314800.0,8.1,No Access,Low,77.4,SOC2,0,2,0.817,Yes,Yes,Clear,179,Low
VEN20266,Fulcrum Industries 3,Consulting,United States,Low,68700.0,201300.0,1.4,No Access,Medium,90.2,ISO27001,0,2,0.85,No,Yes,Clear,136,Low
VEN20267,Outpost Technologies,Facilities & Maintenance,Australia,Low,12600.0,14200.0,1.2,Limited,Medium,55.8,SOC2,0,0,0.905,No,Yes,Clear,207,Low
VEN20268,Bridgeline Group 2,Marketing & Media,Japan,Low,785400.0,2062600.0,1.4,No Access,High,64.2,SOC2,0,0,0.785,No,Yes,Clear,45,Low
VEN20269,Silverline Systems,Manufacturing,Canada,Low,161100.0,344600.0,1.8,Limited,High,91.4,SOC2,1,1,0.904,Yes,Yes,Clear,89,Low
VEN20270,Vantage Group 2,Cloud/SaaS,India,Medium,21700.0,52600.0,0.4,Limited,Medium,62.7,ISO27001,2,0,0.989,No,Yes,Clear,88,Medium
VEN20271,Pinnacle Networks,Logistics,Poland,Medium,26800.0,77900.0,3.2,No Access,Low,66.4,Not Certified,0,1,0.876,No,Yes,Clear,753,Medium
VEN20272,Nova Group 2,Staffing,United States,Low,172700.0,530100.0,2.3,Full,Medium,53.5,SOC2,0,0,0.948,No,Yes,Clear,130,Medium
VEN20273,Ironwood Holdings 2,Logistics,United Kingdom,Low,278400.0,496300.0,0.3,Limited,Low,61.7,Both,0,1,0.887,No,Yes,Clear,85,Low
VEN20274,Vantage Systems 2,Marketing & Media,United States,Low,139000.0,406600.0,0.4,Full,Medium,82.0,Not Certified,0,1,0.965,No,Yes,Clear,359,Medium
VEN20275,Clearway Solutions 3,Financial Services,India,Medium,128800.0,256300.0,0.7,No Access,High,60.8,SOC2,0,1,0.979,No,Yes,Clear,84,Low
VEN20276,Trailhead Consulting 2,Manufacturing,United States,Low,45500.0,22800.0,3.8,No Access,Medium,54.0,ISO27001,1,1,1.0,Yes,Yes,Clear,367,Medium
VEN20277,Bridgeline Solutions,Consulting,Canada,Low,794900.0,3143100.0,5.9,Limited,Low,63.5,ISO27001,0,1,0.944,No,Yes,Clear,90,Low
VEN20278,Anchor Networks 2,Cloud/SaaS,Japan,Low,51600.0,121200.0,4.4,No Access,Medium,97.2,SOC2,0,0,1.0,No,Yes,Clear,50,Low
VEN20279,Clearway Holdings 2,Financial Services,Japan,Low,93200.0,192100.0,1.8,Limited,High,74.8,Not Certified,0,0,0.964,No,Yes,Clear,70,Low
VEN20280,Ironwood Dynamics,Cloud/SaaS,United States,Low,112400.0,381700.0,3.1,Full,Low,64.4,Both,1,0,0.912,No,Yes,Clear,163,Medium
VEN20281,Ironwood Technologies 2,Consulting,Nigeria,High,52000.0,139500.0,5.5,No Access,High,74.4,Both,0,0,1.0,No,No,Clear,176,Medium
VEN20282,Union Partners 3,Financial Services,Canada,Low,179300.0,334100.0,2.0,No Access,Low,78.5,ISO27001,0,1,0.904,Yes,No,Clear,84,Low
VEN20283,Pinnacle Holdings,Logistics,Mexico,Medium,442200.0,1098500.0,8.5,No Access,Medium,74.0,ISO27001,0,1,0.95,No,Yes,Clear,94,Low
VEN20284,Momentum Holdings 3,Cloud/SaaS,Canada,Low,8000.0,20600.0,0.7,Limited,Medium,46.8,Both,0,1,1.0,No,Yes,Clear,428,Low
VEN20285,Cascade Group,Facilities & Maintenance,India,Medium,56900.0,122500.0,2.7,Full,Medium,76.4,Both,0,2,0.992,No,Yes,Clear,1005,Medium
VEN20286,Zenith Systems,Manufacturing,Germany,Low,315500.0,157800.0,6.0,Full,Low,69.2,SOC2,1,2,0.891,Yes,Yes,Clear,55,High
VEN20287,Brightline Partners,IT Services,United Kingdom,Low,377300.0,917800.0,4.3,Limited,Low,84.1,SOC2,0,0,0.958,No,Yes,Clear,194,Low
VEN20288,Beacon Systems,IT Services,Australia,Low,42400.0,65900.0,8.9,No Access,Medium,53.1,SOC2,0,1,0.907,No,Yes,Clear,550,Low
VEN20289,Ironwood Dynamics 2,Manufacturing,India,Medium,160600.0,235800.0,5.5,No Access,Low,86.9,Not Certified,1,0,0.931,No,Yes,Clear,164,Low
VEN20290,Clearway Logistics 2,Facilities & Maintenance,India,Medium,91600.0,214900.0,4.2,No Access,Low,65.2,Not Certified,0,1,0.85,No,Yes,Clear,63,Low
VEN20291,Keystone Consulting,Financial Services,Poland,Medium,87100.0,351800.0,4.2,No Access,Medium,48.1,ISO27001,2,1,0.953,Yes,Yes,Clear,34,Medium
VEN20292,Cascade Solutions,Payment Processing,United Kingdom,Low,35300.0,47500.0,8.8,Full,Medium,90.9,ISO27001,1,0,0.847,No,Yes,Clear,533,Low
VEN20293,Silverline Co. 2,Consulting,United States,Low,237600.0,607300.0,2.6,Limited,Low,64.9,ISO27001,0,0,0.962,No,Yes,Clear,970,Low
VEN20294,Lighthouse Dynamics,Consulting,United Kingdom,Low,298600.0,333200.0,0.4,No Access,Medium,77.4,SOC2,0,0,0.962,Yes,Yes,Clear,236,Low
VEN20295,Northgate Holdings 2,Staffing,United Kingdom,Low,475200.0,481000.0,4.1,Limited,Medium,69.8,Not Certified,0,1,0.991,Yes,Yes,Clear,105,Medium
VEN20296,Union Group,Financial Services,Mexico,Medium,100900.0,202900.0,1.1,Limited,Medium,87.5,SOC2,0,0,1.0,No,Yes,Clear,189,Low
VEN20297,Anchor Global,Financial Services,Ireland,Low,86900.0,264700.0,15.5,No Access,High,87.6,Both,1,0,0.841,No,Yes,Clear,217,Low
VEN20298,Momentum Consulting,Manufacturing,United Kingdom,Low,277600.0,702700.0,4.7,Full,Medium,87.8,Both,0,0,0.868,No,No,Clear,36,Medium
VEN20299,Pinnacle Logistics 3,Manufacturing,United States,Low,3573900.0,9049900.0,0.4,Full,Medium,82.1,Not Certified,0,0,0.88,No,Yes,Clear,5,Low
VEN20300,Brightline Solutions 2,IT Services,India,Medium,57000.0,187500.0,4.2,No Access,Low,49.3,SOC2,1,3,0.906,No,Yes,Clear,81,Medium
VEN20301,Crestview Logistics,Staffing,United States,Low,67600.0,182400.0,4.6,Full,Low,48.3,Not Certified,0,0,0.993,Yes,Yes,Clear,396,Low
VEN20302,Crestview Industries,Cloud/SaaS,India,Medium,585600.0,1073600.0,10.4,Limited,Low,74.9,SOC2,0,0,0.92,No,Yes,Clear,263,Low
VEN20303,Anchor Group,IT Services,Poland,Medium,20000.0,30800.0,21.9,Limited,Low,58.6,SOC2,0,1,0.905,No,Yes,Clear,443,Medium
VEN20304,Northgate Global,Financial Services,Mexico,Medium,8000.0,16500.0,3.4,Limited,Medium,78.6,Not Certified,1,0,0.872,No,Yes,Clear,115,High
VEN20305,Waypoint Labs,Marketing & Media,United States,Low,237400.0,614100.0,2.5,Limited,Low,74.3,Both,0,2,0.902,No,Yes,Clear,156,Low
VEN20306,Keystone Industries,Manufacturing,Germany,Low,384700.0,784800.0,0.7,Limited,Medium,52.1,Not Certified,1,2,0.914,No,Yes,Clear,59,High
VEN20307,Zenith Labs 2,Manufacturing,Nigeria,High,355200.0,750000.0,9.4,No Access,High,57.4,SOC2,1,0,0.934,No,Yes,Clear,5,High
VEN20308,Brightline Labs,Marketing & Media,United States,Low,245000.0,453700.0,4.6,Full,Low,56.0,Not Certified,0,1,0.854,No,Yes,Clear,5,Low
VEN20309,Keystone Enterprises 3,Cloud/SaaS,Poland,Medium,273400.0,452700.0,8.8,Limited,Low,59.5,SOC2,0,0,0.935,No,Yes,Clear,231,Medium
VEN20310,Trailhead Holdings 2,IT Services,Japan,Low,34000.0,45500.0,10.1,Limited,Medium,69.1,ISO27001,0,1,0.974,No,Yes,Clear,8,Low
VEN20311,Northgate Consulting,Facilities & Maintenance,Mexico,Medium,258400.0,429800.0,0.9,Full,Low,81.6,Not Certified,0,2,0.961,No,Yes,Clear,15,Low
VEN20312,Sterling Co. 2,Financial Services,Germany,Low,23900.0,89300.0,0.5,Limited,Low,90.9,SOC2,0,2,0.865,Yes,Yes,Clear,286,Low
VEN20313,Brightline Consulting,Payment Processing,United States,Low,12300.0,39000.0,5.0,Full,Medium,58.3,SOC2,0,0,0.989,No,Yes,Clear,37,Low
VEN20314,Northgate Co.,Manufacturing,India,Medium,58600.0,200300.0,8.5,Limited,Low,64.0,SOC2,0,0,0.988,Yes,Yes,Clear,37,Low
VEN20315,Crestview Co.,Staffing,United States,Low,16900.0,40500.0,2.5,Limited,High,,SOC2,1,0,0.958,No,Yes,Clear,63,Low
VEN20316,Clearway Technologies,IT Services,South Africa,Medium,21000.0,46300.0,6.2,No Access,Medium,84.6,ISO27001,0,1,0.866,No,No,Clear,123,Medium
VEN20317,Redwood Partners 4,IT Services,Brazil,Medium,35500.0,105100.0,15.1,No Access,Medium,75.3,Not Certified,1,1,0.852,No,No,Clear,14,High
VEN20318,Fulcrum Logistics 2,Facilities & Maintenance,Germany,Low,46400.0,92900.0,3.7,No Access,Low,38.8,Not Certified,1,1,0.942,No,No,Clear,45,High
VEN20319,Vertex Group 2,Cloud/SaaS,India,Medium,89200.0,287600.0,1.8,No Access,Low,57.7,ISO27001,1,0,0.878,Yes,Yes,Clear,5,Medium
VEN20320,Waypoint Group 2,IT Services,India,Medium,22800.0,55000.0,7.8,Limited,High,74.2,Not Certified,1,2,0.86,Yes,Yes,Clear,226,High
VEN20321,Redwood Holdings,IT Services,Venezuela,High,37300.0,109800.0,5.0,No Access,Medium,63.6,Both,0,1,0.993,Yes,Yes,Clear,25,Low
VEN20322,Fulcrum Co.,Manufacturing,United States,Low,62400.0,104900.0,3.2,Full,High,100.0,Both,0,1,0.994,No,Yes,Clear,68,Low
VEN20323,Clearway Co.,Logistics,United Kingdom,Low,89800.0,338500.0,7.8,Limited,Low,73.2,SOC2,1,1,0.978,Yes,Yes,Clear,128,Medium
VEN20324,Pinnacle Industries,Facilities & Maintenance,Ireland,Low,129600.0,320600.0,0.6,Limited,Low,76.0,Not Certified,0,0,1.0,No,Yes,Clear,92,Low
VEN20325,Apex Co. 2,Payment Processing,Philippines,Medium,183000.0,520400.0,2.5,Full,Medium,56.4,SOC2,0,2,0.994,No,Yes,Clear,49,Medium
VEN20326,Crestview Logistics 2,Manufacturing,Philippines,Medium,97400.0,166300.0,0.6,Full,Low,57.2,SOC2,0,1,0.871,No,Yes,Clear,275,Low
VEN20327,Vertex Partners,Cloud/SaaS,Ireland,Low,126400.0,221500.0,1.5,Full,Low,62.5,ISO27001,2,0,1.0,No,Yes,Clear,104,Low
VEN20328,Bridgeline Enterprises,Facilities & Maintenance,United States,Low,163100.0,468300.0,17.1,Full,Low,63.1,Both,0,0,0.947,Yes,No,Clear,52,Medium
VEN20329,Fulcrum Enterprises,IT Services,Mexico,Medium,73300.0,72300.0,14.1,Limited,Medium,68.6,SOC2,0,0,0.966,No,Yes,Clear,258,Low
VEN20330,Clearway Logistics 3,Manufacturing,Ireland,Low,92400.0,305700.0,0.8,No Access,Low,77.2,Not Certified,0,0,1.0,Yes,Yes,Clear,14,Low
